# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.760000000000000106e-02 0.000000000000000000e+00
3.509999999999999926e-02 0.000000000000000000e+00
5.269999999999999685e-02 0.000000000000000000e+00
7.030000000000000138e-02 0.000000000000000000e+00
8.780000000000000304e-02 0.000000000000000000e+00
1.053999999999999937e-01 0.000000000000000000e+00
1.229999999999999982e-01 0.000000000000000000e+00
1.405000000000000138e-01 0.000000000000000000e+00
1.580999999999999905e-01 0.000000000000000000e+00
1.756000000000000061e-01 0.000000000000000000e+00
1.932000000000000106e-01 0.000000000000000000e+00
2.107999999999999874e-01 1.076815117371374924e-05
2.283000000000000029e-01 9.801109377174576850e-04
2.459000000000000075e-01 2.171967720723499973e-02
2.635000000000000120e-01 1.335297052750648861e-01
2.810000000000000275e-01 3.054427147166281498e-01
2.985999999999999766e-01 4.346759887305204906e-01
3.161999999999999811e-01 6.240334335695510992e-01
3.336999999999999966e-01 9.079227199682681215e-01
3.513000000000000012e-01 1.160791513399737740e+00
3.689000000000000057e-01 1.406492045620440168e+00
3.864000000000000212e-01 1.734677142526430460e+00
4.040000000000000258e-01 2.241370341153009260e+00
4.214999999999999858e-01 2.830832514250813059e+00
4.390999999999999903e-01 3.438920962961485639e+00
4.566999999999999948e-01 4.121841020465530470e+00
4.742000000000000104e-01 4.914711172932844541e+00
4.918000000000000149e-01 5.840263947730474747e+00
5.093999999999999639e-01 6.898140885002265854e+00
5.269000000000000350e-01 8.107534797934752291e+00
5.444999999999999840e-01 9.504927086185618990e+00
5.621000000000000441e-01 1.111859465537675540e+01
5.796000000000000041e-01 1.296783029937900267e+01
5.971999999999999531e-01 1.509062002662996349e+01
6.148000000000000131e-01 1.753200657932235274e+01
6.322999999999999732e-01 2.033452504636792924e+01
6.499000000000000332e-01 2.354501176665797502e+01
6.674999999999999822e-01 2.724506891355702010e+01
6.850000000000000533e-01 3.154530122071632547e+01
7.026000000000000023e-01 3.644147781291994193e+01
7.200999999999999623e-01 4.194614741191972485e+01
7.377000000000000224e-01 4.819737271020515124e+01
7.552999999999999714e-01 5.532077754894589816e+01
7.728000000000000425e-01 6.346818549712471480e+01
7.903999999999999915e-01 7.275849464254170584e+01
8.080000000000000515e-01 8.333034689165855013e+01
8.255000000000000115e-01 9.516433557466048399e+01
8.430999999999999606e-01 1.084645735845705730e+02
8.607000000000000206e-01 1.234833985351545351e+02
8.781999999999999806e-01 1.404071883113936394e+02
8.958000000000000407e-01 1.595890323210784345e+02
9.133999999999999897e-01 1.810990017586088925e+02
9.308999999999999497e-01 2.050048894098117671e+02
9.485000000000000098e-01 2.314984273117116516e+02
9.660999999999999588e-01 2.607433594394628358e+02
